X,Y,ID,NOMBRE,MUNICIPIO,PROVINCIA,ALTURA,LATITUD,LONGITUD
-0.474444444444444,39.485277777777775,8414A,Valencia Aeropuerto,Manises,València/Valencia,69,39 29 07,-00 28 28
-0.366388888888889,39.480555555555554,8416Y,Valencia,Valencia,València/Valencia,11,39 28 50,-00 21 59
-4.118333333333333,41.593055555555559,2166Y,Peñafiel,Peñafiel,Valladolid,756,41 35 35,-04 07 06
-4.405555555555556,41.611944444444447,2172Y,Sardón de Duero,Sardón de Duero,Valladolid,740,41 36 43,-04 24 20
-4.754444444444444,41.640833333333333,2422,Valladolid,Valladolid,Valladolid,735,41 38 27,-04 45 16
-4.691944444444444,41.28,2503B,"Olmedo, Depósito de Agua",Olmedo,Valladolid,786,41 16 48,-04 41 31
-4.686944444444444,41.325833333333335,2503X,Olmedo,Olmedo,Valladolid,740,41 19 33,-04 41 13
-4.965277777777778,41.424444444444447,2507Y,Rueda,Rueda,Valladolid,715,41 25 28,-04 57 55
-4.939722222222223,41.172777777777775,2517A,Fuente el Sol,Fuente el Sol,Valladolid,755,41 10 22,-04 56 23
-4.995277777777778,42.086111111111109,2593D,Villalón de Campos,Villalón de Campos,Valladolid,763,42 05 10,-04 59 43
-5.040277777777778,41.875833333333333,2604B,Medina de Rioseco,Medina de Rioseco,Valladolid,731,41 52 33,-05 02 25
-5.271666666666667,41.548611111111114,2536D,Morales del Toro,Morales de Toro,Zamora,710,41 32 55,-05 16 18
-5.481388888888889,41.236666666666665,2555B,Fuentesauco,Fuentesaúco,Zamora,811,41 14 12,-05 28 53
-5.5925,41.856388888888887,2611D,Villafáfila,Villafáfila,Zamora,690,41 51 23,-05 35 33
-5.735277777777778,41.515555555555558,2614,Zamora,Zamora,Zamora,656,41 30 56,-05 44 07
-6.64,42.082222222222221,2766E,Puebla de Sanabria,Robleda-Cervantes,Zamora,935,42 04 56,-06 38 24
-6.279722222222222,41.941388888888888,2775X,Villardeciervos,Villardeciervos,Zamora,850,41 56 29,-06 16 47
-6.007222222222222,42.078055555555558,2777K,Santibañez de Vidriales,Santibáñez de Vidriales,Zamora,737,42 04 41,-06 00 26
-5.908888888888889,41.785555555555554,2789H,Pozuelo de Tabara,Pozuelo de Tábara,Zamora,711,41 47 08,-05 54 32
-6.141944444444444,41.533888888888889,2804F,Villadepera,Villadepera,Zamora,790,41 32 02,-06 08 31
-6.022222222222222,41.304444444444442,2885K,Fresno de Sayago,Fresno de Sayago,Zamora,804,41 18 16,-06 01 20
-6.301388888888889,41.68333333333333,2966D,Alcañices,Alcañices,Zamora,840,41 41 00,-06 18 05
-1.213611111111111,42.490833333333335,9244X,Sos del Rey Católico,Sos del Rey Católico,Zaragoza,626,42 29 27,-01 12 49
-1.723333333333333,41.914722222222224,9299X,Tarazona,Tarazona,Zaragoza,475,41 54 53,-01 43 24
-1.139722222222222,42.121111111111112,9321X,Ejea de los Caballeros,Ejea de los Caballeros,Zaragoza,321,42 07 16,-01 08 23
-0.995833333333333,41.984166666666667,9336D,Castejon de Valdejasa,Castejón de Valdejasa,Zaragoza,442,41 59 03,-00 59 45
-1.895277777777778,41.293055555555554,9354X,Alhama de Aragon,Alhama de Aragón,Zaragoza,703,41 17 35,-01 53 43
-1.41,41.114444444444445,9390,Daroca,Daroca,Zaragoza,779,41 06 52,-01 24 36
-1.645277777777778,41.331111111111113,9394X,Calatayud,Calatayud,Zaragoza,600,41 19 52,-01 38 43
-1.380833333333333,41.481111111111112,9427X,La Almunia de Doña Godina,"Almunia de Doña Godina, La",Zaragoza,370,41 28 52,-01 22 51
-0.935,41.62083333333333,9434P,"Zaragoza, Valdespartera",Zaragoza,Zaragoza,254,41 37 15,-00 56 06
-0.882222222222222,41.633333333333333,9443V,"Zaragoza, Canal",Zaragoza,Zaragoza,258,41 38 00,-00 52 56
-0.617222222222222,41.796666666666667,9495Y,Leciñena,Leciñena,Zaragoza,405,41 47 48,-00 37 02
-0.885833333333333,41.443055555555553,9501X,Valmadrid,Valmadrid,Zaragoza,535,41 26 35,-00 53 09
-0.503888888888889,41.429166666666667,9510X,Quinto,Quinto,Zaragoza,205,41 25 45,-00 30 14
-0.037777777777778,41.230277777777779,9574X,Caspe,Caspe,Zaragoza,190,41 13 49,-00 02 16
-0.174444444444444,41.5225,9576C,Bujaraloz,"Almolda, La",Zaragoza,357,41 31 21,-00 10 28
