"TimeInstant","position","presenceStatus:parking","type","id","latitude","longitude"
"2015-12-28T08:21:59.000Z","43.464605070,-3.797676275","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3880","43.464605070","-3.797676275"
"2015-12-22T13:05:23.000Z","43.464472691,-3.798667351","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3879","43.464472691","-3.798667351"
"2015-12-28T05:52:01.000Z","43.464466851,-3.798725689","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3878","43.464466851","-3.798725689"
"2015-12-27T14:55:19.000Z","43.464462471,-3.798786709","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3877","43.464462471","-3.798786709"
"2015-12-23T10:51:37.000Z","43.464455657,-3.798849071","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3876","43.464455657","-3.798849071"
"2015-12-26T09:33:04.000Z","43.464447870,-3.798922161","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3875","43.464447870","-3.798922161"
"2015-12-28T06:32:39.000Z","43.464443490,-3.798983181","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3874","43.464443490","-3.798983181"
"2015-12-25T14:41:07.000Z","43.464655294,-3.797071185","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3873","43.464655294","-3.797071185"
"2015-12-27T01:09:11.000Z","43.464647021,-3.797126841","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3872","43.464647021","-3.797126841"
"2015-12-28T08:24:20.000Z","43.464603123,-3.797393302","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3871","43.464603123","-3.797393302"
"2015-12-28T08:24:18.000Z","43.464594363,-3.797451640","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3870","43.464594363","-3.797451640"
"2015-12-28T01:24:49.000Z","43.464581709,-3.797526742","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3869","43.464581709","-3.797526742"
"2015-12-28T01:24:37.000Z","43.464570515,-3.797591115","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3868","43.464570515","-3.797591115"
"2015-12-28T08:09:57.000Z","43.464561268,-3.797649453","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3867","43.464561268","-3.797649453"
"2015-12-28T08:27:07.000Z","43.464550561,-3.797720531","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3866","43.464550561","-3.797720531"
"2015-12-28T07:59:59.000Z","43.464536934,-3.797787586","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3865","43.464536934","-3.797787586"
"2015-12-27T15:05:15.000Z","43.464508315,-3.797995206","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3864","43.464508315","-3.797995206"
"2015-12-27T11:29:14.000Z","43.464499068,-3.798052873","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3863","43.464499068","-3.798052873"
"2015-12-28T06:54:45.000Z","43.464492254,-3.798105176","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3862","43.464492254","-3.798105176"
"2015-12-23T18:48:02.000Z","43.464483007,-3.798156138","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3861","43.464483007","-3.798156138"
"2015-12-26T10:18:32.000Z","43.464473274,-3.798217829","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3860","43.464473274","-3.798217829"
"2015-12-27T10:20:35.000Z","43.464461106,-3.798326459","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3859","43.464461106","-3.798326459"
"2015-12-28T03:37:49.000Z","43.464456240,-3.798368033","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3858","43.464456240","-3.798368033"
"2015-12-28T00:25:36.000Z","43.464448939,-3.798414972","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3857","43.464448939","-3.798414972"
"2015-12-26T19:55:58.000Z","43.464441639,-3.798463922","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3856","43.464441639","-3.798463922"
"2015-12-27T06:20:37.000Z","43.464414289,-3.798762569","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3855","43.464414289","-3.798762569"
"2015-12-24T17:55:53.000Z","43.464406988,-3.798844377","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3854","43.464406988","-3.798844377"
"2015-12-24T20:04:03.000Z","43.464401148,-3.798904056","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3853","43.464401148","-3.798904056"
"2015-12-28T08:10:38.000Z","43.464393848,-3.798975805","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3852","43.464393848","-3.798975805"
"2015-12-27T18:47:24.000Z","43.464382654,-3.799103210","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3851","43.464382654","-3.799103210"
"2015-12-28T06:33:58.000Z","43.464051448,-3.797010183","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3850","43.464051448","-3.797010183"
"2015-12-28T01:23:39.000Z","43.464046581,-3.797063157","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3849","43.464046581","-3.797063157"
"2015-12-28T08:14:52.000Z","43.464037334,-3.797136918","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3848","43.464037334","-3.797136918"
"2015-12-28T08:14:48.000Z","43.464030034,-3.797212690","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3847","43.464030034","-3.797212690"
"2015-12-28T08:31:02.000Z","43.464024680,-3.797288463","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3846","43.464024680","-3.797288463"
"2015-12-26T17:56:15.000Z","43.464010059,-3.797441092","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3845","43.464010059","-3.797441092"
"2015-12-28T08:06:18.000Z","43.464000812,-3.797539664","false","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3844","43.464000812","-3.797539664"
"2015-12-28T08:23:16.000Z","43.463993512,-3.797612754","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3843","43.463993512","-3.797612754"
"2015-12-28T06:52:16.000Z","43.463990592,-3.797665727","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3842","43.463990592","-3.797665727"
"1970-01-01T00:00:08.000Z","43.463941943,-3.798125982","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3841","43.463941943","-3.798125982"
"2014-12-06T01:24:54.000Z","43.463935129,-3.798183650","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3840","43.463935129","-3.798183650"
"2015-04-11T22:54:37.000Z","43.463930262,-3.798237294","true","urn:smartsantander:entityType:parkingSensor","urn:x-iot:smartsantander:u7jcfa:fixed:np3839","43.463930262","-3.798237294"
